"Generation Interconnection Number","IFS Queue Number","Current Cluster","Cluster Group"," Nearest Town or County","State","TO at POI","In-Service Date","Commercial Operation Date","Capacity","MAX Summer MW","MAX Winter MW","Service Type","Generation Type","Fuel Type","Substation or Line","Request Received","Date Withdrawn","Status"
"GEN-2020-058","","DISIS-2020-001","03 CENTRAL","Garner","KS","KCPL",2026-11-01,2026-12-01,424.5,424.5,424.5,"ER/NR","Solar","","Craig-West Gardner 345 kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-057","","DISIS-2020-001","03 CENTRAL","Garner","KS","WERE",2026-11-01,2026-12-01,424.5,424.5,424.2,"ER/NR","Battery/Storage","","Atlantic 345 kV Substation",2020-04-30,"","DISIS STAGE"
"GEN-2020-056","","DISIS-2020-001","03 CENTRAL","Russell County","KS","SUNC",2023-03-30,2024-07-15,20,20,20,"ER/NR","Solar","","Russell 115 kV Substation",2020-04-30,"","DISIS STAGE"
"GEN-2020-055","","DISIS-2020-001","04 SOUTHEAST","Bowie County","TX","AEP",2023-08-01,2025-12-15,71,71,71,"ER/NR","Battery/Storage","","Lydia 345 kV Station",2020-04-27,"","DISIS STAGE"
"GEN-2020-054","","DISIS-2020-001","04 SOUTHEAST","Bowie County","TX","AEP",2023-08-01,2025-12-15,298,298,298,"ER/NR","Solar","","Lydia 345 kV Station",2020-04-27,"","DISIS STAGE"
"GEN-2020-052","","DISIS-2020-001","03 CENTRAL","Labette Co","KS","WERE",2023-08-01,2025-12-15,251,251,251,"ER/NR","Wind","","Neosho-Delaware 345 kV",2020-04-29,"","DISIS STAGE"
"GEN-2020-045","","DISIS-2020-001","02 NEBRASKA","Douglas County","NE","OPPD",2023-04-30,2023-05-31,56.52,56.52,56.52,"ER/NR","Thermal","Reciprocating Engine","Between Substation 1209 and 1252; 161kV",2020-04-29,"","DISIS STAGE"
"GEN-2020-044","","DISIS-2020-001","02 NEBRASKA","Douglas County","NE","OPPD",2023-04-30,2023-05-31,56.52,56.52,56.52,"ER/NR","Thermal","Reciprocating Engine","Between Substation 1209 and 1252; 161kV",2020-04-29,"","DISIS STAGE"
"GEN-2020-043","","DISIS-2020-001","02 NEBRASKA","Douglas County","NE","OPPD",2023-04-30,2023-05-31,56.52,56.52,56.52,"ER/NR","Thermal","Reciprocating Engine","Between Substation 1209 and 1252; 161kV",2020-04-29,"","DISIS STAGE"
"GEN-2020-038","","DISIS-2020-001","02 NEBRASKA","Plattsmouth","NE","OPPD",2023-04-30,2023-05-31,303,258,303,"ER/NR","Thermal","CT","Substation 3740; 345kV",2020-04-29,"","DISIS STAGE"
"GEN-2020-036","","DISIS-2020-001","02 NEBRASKA","Plattsmouth","NE","OPPD",2023-04-30,2023-05-31,303,303,303,"ER/NR","Hybrid","Solar/Battery","Substation 3740; 345kV",2020-04-29,"","DISIS STAGE"
"GEN-2020-033","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD",2023-04-30,NA,50,50,50,"ER/NR","Hybrid","Solar/Storage","S1281 – S1362 161kV (S1363)",2020-04-29,"","DISIS STAGE"
"GEN-2020-031","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD",2023-04-30,2023-05-31,303,258,303,"ER/NR","Thermal","CT","Substation 1363; 161kV Substation",2020-04-29,"","DISIS STAGE"
"GEN-2020-030","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD",2023-04-30,2024-05-31,50,50,50,"ER/NR","Hybrid","Solar/Storage","S1281 – S1362 161kV (S1363)",2020-04-29,"","DISIS STAGE"
"GEN-2020-028","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD",2023-04-30,2024-01-26,255,235,255,"ER/NR","Thermal","CT","Substation 1363; 161kV Substation",2020-04-29,"","DISIS STAGE"
"GEN-2020-027","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD",2023-04-30,2024-05-31,50,50,50,"ER/NR","Hybrid","Solar/Storage","S1281 – S1362 161kV (S1363)",2020-04-29,"","DISIS STAGE"
"GEN-2020-025","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD",2023-04-30,2024-01-26,255,235,255,"ER/NR","Thermal","CT","Substation 1363; 161kV Substation",2020-04-29,"","DISIS STAGE"
"GEN-2020-023","","DISIS-2020-001","04 SOUTHEAST","Carrier","OK","OGE",2025-04-01,2025-12-01,202,202,202,"ER/NR","Battery/Storage","","Woodring 345 KV Station",2020-04-07,"","DISIS STAGE"
"GEN-2020-022","","DISIS-2020-001","03 CENTRAL","Finney County","KS","SUNC",2023-11-01,2025-12-01,125,125,125,"ER/NR","Solar","","Holcomb Substation 115KV",2020-04-29,"","DISIS STAGE"
"GEN-2020-021","","DISIS-2020-001","01 NORTH","Sioux County","ND","BEPC",2023-11-30,2025-12-31,235,235,235,"ER/NR","Wind","","LeLand Olds-Chapelle Creek 345kV line ",2020-04-24,"","DISIS STAGE"
"GEN-2020-020","","DISIS-2020-001","04 SOUTHEAST","McCurtain","OK","AEP",2025-05-15,2025-12-15,201.6,201.6,201.6,"ER/NR","Hybrid","Solar/Storage","Tap the 345 kV Northwest Texarkana - Valliant line",2020-04-28,"","DISIS STAGE"
"GEN-2020-017","","DISIS-2020-001","05 SOUTHWEST","Lamb County","TX","SPS",2025-10-01,2025-12-31,74.88,74.88,74.88,"ER/NR","Solar","","230kV Lamb County Interchange",2020-04-24,"","DISIS STAGE"
"GEN-2020-016","","DISIS-2020-001","04 SOUTHEAST","Tillman","OK","WFEC",2026-10-30,2026-12-31,202,202,202,"ER/NR","Wind","","Snyder SW-Cache 138 kV line",2020-04-20,"","DISIS STAGE"
"GEN-2020-015","","DISIS-2020-001","03 CENTRAL","Johnston ","OK","OGE",2026-11-01,2026-12-31,104,104,104,"ER/NR","Solar","","Johnston County 345 kV Substation",2020-04-19,"","DISIS STAGE"
"GEN-2020-014","","DISIS-2020-001","01 NORTH","Alexander","ND","BEPC",2021-06-17,2021-10-18,60.5,45,45,"ER/NR","Thermal","Gas","Lonesome Creek 115kV",2020-04-20,"","DISIS STAGE"
"GEN-2020-013","","DISIS-2020-001","02 NEBRASKA","Orleans","NE","NPPD",2026-10-15,2028-12-31,215,215,215,"ER/NR","Hybrid","Solar/Storage","Orleans-Holdrege Substation 115kV",2020-04-10,"","DISIS STAGE"
"GEN-2020-012","","DISIS-2020-001","04 SOUTHEAST","Headrick","OK","AEP",2026-10-15,2028-12-31,113,113,113,"ER/NR","Hybrid","Solar/Storage","Snyder – Altus Jct. 138kV",2020-04-10,"","DISIS STAGE"
"GEN-2020-011","","DISIS-2020-001","02 NEBRASKA","Funk","NE","NPPD",2026-10-15,2026-12-31,320,320,320,"ER/NR","Hybrid","Solar/Storage","Axtell-Sweetwater Substation 345kV",2020-04-08,"","DISIS STAGE"
"GEN-2020-010","","DISIS-2020-001","04 SOUTHEAST","Mutual","OK","WFEC",2026-10-15,2028-12-31,140,140,140,"ER/NR","Hybrid","Solar/Storage","Seiling-Taloga Substations 138kV",2020-04-08,"","DISIS STAGE"
"GEN-2020-009","","DISIS-2020-001","05 SOUTHWEST","Cotton","OK","AEP",2026-10-15,2025-12-31,300,300,300,"ER/NR","Hybrid","Solar/Storage","Lawton East Side to Oklaunion 345kV",2020-04-08,"","DISIS STAGE"
"GEN-2020-008","","DISIS-2020-001","03 CENTRAL","Stevens County","KS","SPS",2023-09-01,2026-12-31,250,250,250,"ER/NR","Hybrid","Solar/Storage","Corporation Carpenter 345kV Substation",2020-04-22,"","DISIS STAGE"
"GEN-2020-007","","DISIS-2020-001","03 CENTRAL","Linn & Bates","KS","KCPL",2023-07-01,2025-12-31,650,650,650,"ER/NR","Hybrid","Solar/Storage","Evergy La Cygne to Wolf Creek 345kV Substation",2020-04-22,"","DISIS STAGE"
"GEN-2020-006","","DISIS-2020-001","01 NORTH","Bowman County","ND","BEPC",2023-11-01,2026-12-31,250,250,250,"ER/NR","Solar","","Bowman 230kV substation",2020-04-23,"","DISIS STAGE"
"GEN-2020-005","","DISIS-2020-001","05 SOUTHWEST","Carson County","TX","SPS",2023-01-15,2023-02-15,150,150,150,"ER/NR","Wind","","Conway 115 kV Line (524079)",2020-03-31,"","DISIS STAGE"
"GEN-2020-003","","DISIS-2020-001","03 CENTRAL","Winfield","KS","KPP",2023-03-01,2023-06-01,58,58,58,"ER/NR","Thermal","Diesel/Gas","East Substation 69 kV",2020-04-01,"","DISIS STAGE"
"GEN-2020-002","","DISIS-2020-001","02 NEBRASKA","Yutan","NE","OPPD",2022-11-15,2024-02-01,81,81,81,"ER/NR","Solar","","6846 Substation 69 kV",2020-04-06,"","DISIS STAGE"
"GEN-2020-001","","DISIS-2020-001","02 NEBRASKA","Cheyenne County","NE","BEPC",2022-11-30,2027-12-31,200,200,200,"ER/NR","Solar","","Sidney 345 kV Substation ",2019-12-06,"","DISIS STAGE"
"GEN-2019-074","","DISIS-2019-001","05 SOUTHWEST","Lamb","TX","SPS",2023-12-31,2023-12-31,100,100,100,"ER","Battery/Storage","","Plant X 230kV Substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-073","","DISIS-2019-001","02 NEBRASKA","Madison","NE","NPPD",2023-12-31,2027-12-31,100,100,100,"ER","Solar","","Shell Creek-Hoskins 345kv Line",2019-05-24,"","DISIS STAGE"
"GEN-2019-070","","DISIS-2019-001","02 NEBRASKA","Madison","NE","NPPD",2023-12-31,2027-12-31,50,50,50,"ER","Solar","","Shell Creek-Hoskins 345kv Line",2019-05-24,"","DISIS STAGE"
"GEN-2019-069","","DISIS-2019-001","02 NEBRASKA","Madison","NE","NPPD",2023-12-31,2027-12-31,100,100,100,"ER","Solar","","Shell Creek-Hoskins 345kV Line",2019-05-24,"","DISIS STAGE"
"GEN-2019-068","","DISIS-2019-001","03 CENTRAL","Barton","KS","SUNC",2023-06-01,2026-05-01,50,50,50,"ER/NR","Battery/Storage","","Great Bend - Circle 230kV line",2019-05-24,"","DISIS STAGE"
"GEN-2019-067","","DISIS-2019-001","04 SOUTHEAST","Canadian","OK","OGE",2023-06-01,2026-05-01,30,30,30,"ER/NR","Battery/Storage","","Cimarron 345kV",2019-05-24,"","DISIS STAGE"
"GEN-2019-066","","DISIS-2019-001","04 SOUTHEAST","Beckham","OK","AEP",2023-06-01,2026-05-01,50,50,50,"ER/NR","Battery/Storage","","Sweetwater 230kV substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-065","","DISIS-2019-001","04 SOUTHEAST","Smith","TX","AEP",2024-06-01,2025-12-01,180,180,180,"ER","Battery/Storage","","Overton-Northwest Henderson 138kV",2019-05-23,"","DISIS STAGE"
"GEN-2019-063","","DISIS-2019-001","03 CENTRAL","Ford, Clark","KS","ITCGP",2023-06-01,2026-05-01,50,50,50,"ER/NR","Battery/Storage","","Clark County 345kV substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-062","","DISIS-2019-001","03 CENTRAL","Butler","KS","WERE",2022-12-31,2027-12-31,90,90,90,"ER","Battery/Storage","","Pony Meadows - El Paso 161kV Line Break",2019-05-24,"","DISIS STAGE"
"GEN-2019-058","","DISIS-2019-001","03 CENTRAL","Ford, Clark","KS","ITCGP",2023-06-01,2026-05-01,150,150,150,"ER/NR","Solar","","Clark County 345kV substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-056","","DISIS-2019-001","05 SOUTHWEST","Randall","TX","SPS",2022-12-31,2027-12-31,100,100,100,"ER","Battery/Storage","","Randall 115kV substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-055","","DISIS-2019-001","03 CENTRAL","Edwards, Pawnee","KS","SUNC",2023-06-01,2026-05-01,150,150,150,"ER/NR","Solar","","Great Bend-Spearville 230kV line",2019-05-24,"","DISIS STAGE"
"GEN-2019-054","","DISIS-2019-001","03 CENTRAL","Barton","KS","SUNC",2023-06-01,2026-05-01,150,150,150,"ER/NR","Solar","","Great Bend- Circle 230kV line",2019-05-24,"","DISIS STAGE"
"GEN-2019-053","","DISIS-2019-001","03 CENTRAL","Edwards/Pawnee","KS","SUNC",2023-06-01,2026-05-01,50,50,50,"ER/NR","Battery/Storage","","Great Bend-Spearville 230kV line",2019-05-24,"","DISIS STAGE"
"GEN-2019-052","","DISIS-2019-001","04 SOUTHEAST","Canadian","OK","OGE",2023-06-01,2025-05-01,135,135,135,"ER/NR","Solar","","Cimarron 345kV",2019-05-24,"","DISIS STAGE"
"GEN-2019-051","","DISIS-2019-001","03 CENTRAL","Barton","KS","SUNC",2023-06-01,2026-05-01,40,40,40,"ER/NR","Battery/Storage","","Frey St 115kV bus",2019-05-24,"","DISIS STAGE"
"GEN-2019-048","","DISIS-2019-001","03 CENTRAL","Jackson","MO","KCPL",2022-12-31,2027-12-31,50,50,50,"ER","Battery/Storage","","Duncan 69kV substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-045","","DISIS-2019-001","04 SOUTHEAST","Woods","OK","OGE",2022-12-31,2027-12-31,155,155,155,"ER","Solar","","DeGrasse 138kV Substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-044","","DISIS-2019-001","03 CENTRAL","Ford","KS","SUNC",2023-12-31,2027-12-15,100,100,100,"ER","Solar","","North Fort Dodge 115kV Substation",2019-05-24,"","DISIS STAGE"
"GEN-2019-041","","DISIS-2019-001","02 NEBRASKA","Lancaster","NE","NPPD",2020-12-01,2024-12-31,78,78,78,"ER/NR","Solar","","115kV Monolith Substation",2019-05-23,"","DISIS STAGE"
"GEN-2019-039","","DISIS-2019-001","02 NEBRASKA","Butler","NE","NPPD",2022-05-16,2025-05-01,174.5,174.5,174.5,"ER/NR","Solar","","Columbus Southeast-Rising City 115kV",2019-05-21,"","DISIS STAGE"
"GEN-2019-037","","DISIS-2019-001","01 NORTH","Mercer","ND","BEPC",2023-12-01,2024-11-19,150,150,150,"ER/NR","Solar","","Leland Olds 345kV substation",2019-05-17,"","DISIS STAGE"
"GEN-2019-035","","DISIS-2019-001","03 CENTRAL","Barry","MO","EDE",2022-12-31,2025-12-31,80,80,80,"ER/NR","Solar","","Reeds Spring-Aurora 161kV Line",2019-05-02,"","DISIS STAGE"
"GEN-2019-033","","DISIS-2019-001","02 NEBRASKA","Knox","NE","NPPD",2021-12-01,2024-12-31,182,182,182,"ER/NR","Solar","","Sidney Keystone 345 kV line",2019-05-01,"","DISIS STAGE"
"GEN-2019-030","","DISIS-2019-001","03 CENTRAL","Ford","KS","ITCGP",2021-12-01,2024-12-31,252,252,252,"ER/NR","Wind","","Spearville to Clark County 345 kV line",2019-04-25,"","DISIS STAGE"
"GEN-2019-029","","DISIS-2019-001","02 NEBRASKA","Keith and Deuel","NE","NPPD",2021-12-01,2024-12-31,404,404,404,"ER/NR","Wind","","Sidney Keystone 345 kV line",2019-04-25,"","DISIS STAGE"
"GEN-2019-023","","DISIS-2019-001","01 NORTH","Wibaux","MT","WAPA",2023-12-31,2025-06-01,110,110,110,"ER/NR","Hybrid","Wind/Storage","WAPA-UGP Mingusville 230kV",2019-05-08,"","DISIS STAGE"
"GEN-2019-021","","DISIS-2019-001","05 SOUTHWEST","Roosevelt","NM","SPS",2022-12-01,2025-06-01,50,50,50,"ER/NR","Solar","","Roosevelt 230kV Substation",2019-04-29,"","DISIS STAGE"
"GEN-2019-019","","DISIS-2019-001","01 NORTH","Sioux","IA","NIPCO",2020-02-01,2022-07-22,15.15,15.15,15.15,"ER/NR","Thermal","Gas Turbine","Siouxland 69kV",2019-04-24,"","DISIS STAGE"
"GEN-2019-018","","DISIS-2019-001","03 CENTRAL","Rice","KS","MIDW",2020-03-01,2021-06-01,15.56,11.97,15.56,"ER/NR","Thermal","Gas Turbine","Saxman 115kV substation",2019-04-24,"","DISIS STAGE"
"GEN-2019-016","","DISIS-2019-001","03 CENTRAL","Polk and Dade","MO","EDE",2022-11-30,2025-12-01,200,200,200,"ER","Solar","","Dadeville 161kV Substation ",2019-04-30,"","DISIS STAGE"
"GEN-2019-014","","DISIS-2019-001","03 CENTRAL","Finney","KS","SUNC",2022-12-01,2025-12-01,125,125,125,"ER/NR","Hybrid","Solar/Storage","Holcomb 115kV substation",2019-04-24,"","DISIS STAGE"
"GEN-2019-013","","DISIS-2019-001","04 SOUTHEAST","Roger Mills","OK","AEP",2021-12-31,2026-05-01,50,50,50,"ER/NR","Battery/Storage","","Dempsey 230kV sub/Sweetwater 230kV",2019-04-24,"","DISIS STAGE"
"GEN-2019-012","","DISIS-2019-001","04 SOUTHEAST","Woodward","OK","OGE",2023-05-01,2025-05-01,200,200,200,"ER/NR","Battery/Storage","","Woodward 345kV substation",2019-05-22,"","DISIS STAGE"
"GEN-2019-011","","DISIS-2019-001","05 SOUTHWEST","Yoakum","TX","SPS",2023-05-01,2025-05-01,230,230,230,"ER/NR","Battery/Storage","","Yoakum 345kV Substation",2019-04-22,"","DISIS STAGE"
"GEN-2019-009","","DISIS-2019-001","02 NEBRASKA","Nemaha","NE","OPPD",2022-10-31,2025-12-31,100,100,100,"ER","Solar","","S1263 Brock 161kV substation",2019-04-24,"","DISIS STAGE"
"GEN-2019-004","","DISIS-2019-001","05 SOUTHWEST","Hobbs","NM","SPS",2019-06-04,2019-06-04,56,56,56,"ER","Thermal","CT","Hobbs 230kV / 115kV Switchyard",2019-04-22,"","DISIS STAGE"
"GEN-2019-003","","DISIS-2019-001","05 SOUTHWEST","Roosevelt","NM","SPS",2022-12-01,2025-06-01,150,150,150,"ER/NR","Solar","","Roosevelt 230kV Substation",2019-04-19,"","DISIS STAGE"
"GEN-2019-002","","DISIS-2019-001","04 SOUTHEAST","Mayes","OK","GRDA",2020-12-01,2025-06-01,100,100,100,"ER","Battery/Storage","","Maid 161kV substation",2018-11-26,"","DISIS STAGE"
"GEN-2019-001","","DISIS-2019-001","03 CENTRAL","Pratt","KS","WERE",2018-12-31,2018-12-31,25,25,25,"ER","Wind","","Thistle-Wichita Dbl Ckt (Buffalo Flats) 345kV",2018-11-27,"","DISIS STAGE"
"GEN-2018-132","","DISIS-2018-002","02 NEBRASKA","Pierce","NE","NPPD",2020-12-31,2024-12-31,201.6,201.6,201.6,"ER/NR","Solar","","Antelope 345kV line",2018-11-21,"","DISIS STAGE"
"GEN-2018-131","","DISIS-2018-002","02 NEBRASKA","Pierce","NE","NPPD",2020-12-31,2024-12-31,221.4,221.4,221.4,"ER/NR","Solar","","Antelope 345kV",2018-11-21,"","DISIS STAGE"
"GEN-2018-128","","DISIS-2018-002","03 CENTRAL","Sumner","KS","WERE",2021-09-01,2026-10-01,200.22,200.22,200.22,"ER/NR","Wind","","Renfrow-Viola 345 kV",2018-11-19,"","DISIS STAGE"
"GEN-2018-125","","DISIS-2018-002","02 NEBRASKA","Lincoln","NE","NPPD",2022-12-15,2024-12-01,231,231,231,"ER/NR","Wind","","New switching station on Gentleman to Sweetwater 345kV line",2018-11-19,"","DISIS STAGE"
"GEN-2018-124","","DISIS-2018-002","05 SOUTHWEST","Parmer","TX","SPS",2023-12-31,2027-12-31,200,200,200,"ER","Solar","","Tolk 230kV substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-121","","DISIS-2018-002","03 CENTRAL","Cass","MO","GMO",2020-12-31,2027-12-31,50,50,50,"ER","Battery/Storage","","KC South-N. Raymore 161kV Line",2018-11-21,"","DISIS STAGE"
"GEN-2018-117","","DISIS-2018-002","04 SOUTHEAST","Roger Mills","OK","AEP",2022-12-31,2026-05-01,150,150,150,"ER/NR","Solar","","Sweetwater 230kV",2018-11-20,"","DISIS STAGE"
"GEN-2018-116","","DISIS-2018-002","03 CENTRAL","Barton","KS","SUNC",2022-12-31,2026-05-01,150,150,150,"ER/NR","Solar","","Frey Street 115kV bus",2018-11-20,"","DISIS STAGE"
"GEN-2018-115","","DISIS-2018-002","04 SOUTHEAST","Lawton","OK","AEP",2021-12-01,2021-12-01,250,250,250,"ER/NR","Hybrid","Solar/Storage","Lawton East Side 345kV/138kv Substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-112","","DISIS-2018-002","05 SOUTHWEST","Parmer","TX","SPS",2023-12-31,2027-12-31,185,185,185,"ER","Solar","","Tolk 230kV substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-111","","DISIS-2018-002","05 SOUTHWEST","Parmer","TX","SPS",2023-12-31,2027-12-31,75,75,75,"ER","Battery/Storage","","Tolk 230kV substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-108","","DISIS-2018-002","03 CENTRAL","Barber","KS","ITCGP",2020-12-31,2020-12-31,95,95,95,"ER","Battery/Storage","","Thistle 345kV substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-106","","DISIS-2018-002","04 SOUTHEAST","Caddo","LA","AEP",2023-12-31,2025-12-15,165,165,165,"ER","Solar","","Longwood 345kV substation",2018-11-02,"","DISIS STAGE"
"GEN-2018-099","","DISIS-2018-002","05 SOUTHWEST","Parmer","TX","SPS",2023-12-31,2027-12-31,300,300,300,"ER","Wind","","Tolk 230kV Substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-097","","DISIS-2018-002","05 SOUTHWEST","Parmer","TX","SPS",2023-12-31,2027-12-31,100,100,100,"ER","Solar","","Tolk 230kV Substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-093","","DISIS-2018-002","03 CENTRAL","Sedgwick","KS","WERE",2021-12-31,2027-12-31,60,60,60,"ER","Battery/Storage","","Gordan Evans 137kV Substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-092","","DISIS-2018-002","05 SOUTHWEST","Foard/Wilbarger","TX","SPS",2023-12-31,2027-12-15,400,400,400,"ER","Solar","","Oklaunion-Tuco 345kV Line Break",2018-11-21,"","DISIS STAGE"
"GEN-2018-090","","DISIS-2018-002","02 NEBRASKA","Washington","NE","OPPD",2023-12-31,2027-12-31,125,125,125,"ER/NR","Battery/Storage","","Raun-Fort Calhoun 345kV Line",2018-11-21,"","DISIS STAGE"
"GEN-2018-089","","DISIS-2018-002","05 SOUTHWEST","Castro","TX","SPS",2023-12-31,2027-12-31,196,196,196,"ER","Wind","","Newhart 230kV Substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-088","","DISIS-2018-002","04 SOUTHEAST","Bowie","TX","AEP",2023-12-31,2027-12-15,130,130,130,"ER","Solar","","Lydia 345kV substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-087","","DISIS-2018-002","04 SOUTHEAST","Bowie","TX","AEP",2023-12-31,2027-12-15,75,75,75,"ER","Battery/Storage","","Lydia 345kV substation",2018-11-21,"","DISIS STAGE"
"GEN-2018-083","","DISIS-2018-002","02 NEBRASKA","Madison","NE","NPPD",2023-12-31,2023-12-31,250,250,250,"ER","Wind","","Shell Creek-Hoskins 345kv Line Break",2018-11-16,"","DISIS STAGE"
"GEN-2018-082","","DISIS-2018-002","04 SOUTHEAST","Pittsburg","OK","AEP",2023-12-31,2027-12-31,215,215,215,"ER","Wind","","Pittsburg 345kV Substation",2018-11-18,"","DISIS STAGE"
"GEN-2018-081","","DISIS-2018-002","05 SOUTHWEST","Lamb ","TX","SPS",2023-12-31,2027-12-31,175,175,175,"ER","Solar","","Plant X 230kV Substation",2018-11-18,"","DISIS STAGE"
"GEN-2018-079","","DISIS-2018-002","04 SOUTHEAST","Craig/Novata","OK","AEP",2023-12-31,2027-12-31,148,148,148,"ER","Solar","","Farmland-Delaware 138kV line",2018-11-18,"","DISIS STAGE"
"GEN-2018-074","","DISIS-2018-002","01 NORTH","Crawford and Carrol ","IA","WAPA",2022-05-10,2025-10-31,78,78,78,"ER","Wind","","Denison 230kV Substation",2018-10-31,"","DISIS STAGE"
"GEN-2018-073","","DISIS-2018-002","05 SOUTHWEST","Floyd","TX","SPS",2020-10-30,2026-10-30,250,250,250,"ER","Solar","","345kV Crawfish Substation",2018-10-24,"","DISIS STAGE"
"GEN-2018-072","","DISIS-2018-002","04 SOUTHEAST","Kay","OK","OGE",2021-11-30,2024-11-01,151,151,151,"ER/NR","Battery/Storage","","Interconnecting into OG&E's Ranch Road 345kV substation by tapping a 0.1 gen tie line into the existing Frontier II gen-tie line",2018-10-26,"","DISIS STAGE"
"GEN-2018-071","","DISIS-2018-002","04 SOUTHEAST","Kay","OK","OGE",2021-11-30,2024-11-01,151,151,151,"ER/NR","Battery/Storage","","Interconnecting into OG&E's Ranch Road 345kV substation by tapping a 0.1 gen tie line into the existing Frontier II gen-tie line",2018-10-25,"","DISIS STAGE"
"GEN-2018-070","","DISIS-2018-002","01 NORTH","Yankton","SD","WAPA",2019-12-31,2020-04-22,18.31,18.31,18.31,"ER/NR","Wind","","Utica Junction 230 kV substation",2018-10-29,"","DISIS STAGE"
"GEN-2018-069","","DISIS-2018-002","01 NORTH","Wibaux","MT","WAPA",2020-12-31,2025-06-01,125,125,125,"ER/NR","Wind","","WAPA-UGP Mingusville 230kV",2018-10-26,"","DISIS STAGE"
"GEN-2018-068","","DISIS-2018-002","02 NEBRASKA","Madison","NE","NPPD",2022-09-01,2025-06-01,302.4,302.4,302.4,"ER/NR","Wind","","Antelope 345 kV Substation",2018-10-26,"","DISIS STAGE"
"GEN-2018-067","","DISIS-2018-002","01 NORTH","Williams","ND","MWEC",2020-10-30,2026-10-30,255,255,255,"ER","Wind","","115kV Strandahl sub ",2018-10-25,"","DISIS STAGE"
"GEN-2018-065","","DISIS-2018-002","02 NEBRASKA","Madison","NE","NPPD",2020-07-01,2025-06-01,19.8,19.8,19.8,"ER/NR","Wind","","Antelope 345 kV Substation",2018-10-24,"","DISIS STAGE"
"GEN-2018-064","","DISIS-2018-002","04 SOUTHEAST","Benton County","AR","GRDA",2021-06-30,2025-12-31,80,80,80,"ER/NR","Solar","","Tonnece Substation 69kV",2018-10-24,"","DISIS STAGE"
"GEN-2018-063","","DISIS-2018-002","03 CENTRAL","Greene","MO","EDE",2021-06-30,2025-12-01,57,57,57,"ER","Solar","","Sedalia Marshfield Springfield Nichols Street 69kV circuit",2018-10-23,"","DISIS STAGE"
"GEN-2018-062","","DISIS-2018-001","03 CENTRAL","Wyandotte","KS","KACY",2020-12-31,2024-12-31,75.6,75.6,75.6,"ER/NR","Solar","","Nearman 161kV substation",2018-05-29,"","DISIS STAGE"
"GEN-2018-061","","DISIS-2018-001","03 CENTRAL","Jasper","MO","WERE",2021-12-31,2025-12-31,50,50,50,"ER","Wind","","Kelly 161kV Substation",2018-05-29,"","DISIS STAGE"
"GEN-2018-060","","DISIS-2018-001","02 NEBRASKA","Webster","NE","NPPD",2020-12-01,2024-12-31,50,50,50,"ER/NR","Wind","","Axtell-Post Rock 345 kV",2018-05-29,"","DISIS STAGE"
"GEN-2018-059","","DISIS-2018-001","03 CENTRAL","Leavenworth","KS","WERE",2020-12-31,2024-12-31,252,252,252,"ER/NR","Solar","","Stranger Creek 345kV",2018-05-29,"","DISIS STAGE"
"GEN-2018-058","","DISIS-2018-001","03 CENTRAL","Leavenworth","KS","WERE",2020-12-31,2024-12-31,252,252,252,"ER/NR","Solar","","Stranger Creek 345kV",2018-05-29,"","DISIS STAGE"
"GEN-2018-057","","DISIS-2018-001","03 CENTRAL","Sedgwick","KS","WERE",2020-12-31,2024-12-31,203.4,203.4,203.4,"ER/NR","Solar","","Gordon Evans 138kV",2018-05-29,"","DISIS STAGE"
"GEN-2018-056","","DISIS-2018-001","02 NEBRASKA","Knox/Holt","NE","WAPA",2020-12-31,2024-12-31,102.6,102.6,102.6,"ER/NR","Solar","","Grand Prairie 345kV",2018-05-29,"","DISIS STAGE"
"GEN-2018-055","","DISIS-2018-001","04 SOUTHEAST","Grady","OK","AEP",2020-12-31,2024-12-31,252,252,252,"ER/NR","Solar","","Terry Road 345kV station (shared with Rush Springs Windfarm on a common gentie) ",2018-05-29,"","DISIS STAGE"
